,0,1,2,3,4,5,6,7
0,-7598.453125,-4082.65771484375,-5745.85107421875,-5398.9521484375,-5667.23974609375,-4741.3857421875,-4956.02978515625,-5745.560546875
1,-7599.5703125,-4083.015380859375,-5745.82861328125,-5399.17529296875,-5667.44091796875,-4741.34130859375,-4956.7451171875,-5745.27001953125
2,-7599.68212890625,-4084.1552734375,-5746.63330078125,-5399.6669921875,-5668.3798828125,-4742.77197265625,-4957.9296875,-5746.119140625
3,-7600.10693359375,-4082.501220703125,-5745.78369140625,-5398.326171875,-5666.90478515625,-4741.5869140625,-4956.43212890625,-5744.84521484375
4,-7598.3857421875,-4080.132080078125,-5743.81689453125,-5396.24755859375,-5663.68603515625,-4738.94970703125,-4953.7275390625,-5742.54296875
5,-7600.12939453125,-4083.08251953125,-5745.359375,-5398.4599609375,-5665.7646484375,-4740.6484375,-4956.25341796875,-5743.99560546875
6,-7601.87255859375,-4084.535400390625,-5746.27587890625,-5399.80126953125,-5667.7763671875,-4741.85546875,-4958.33203125,-5745.42626953125
7,-7602.31982421875,-4084.06591796875,-5745.80615234375,-5399.48828125,-5668.201171875,-4742.1904296875,-4958.1083984375,-5745.20263671875
8,-7600.73291015625,-4082.434326171875,-5744.80029296875,-5398.01318359375,-5666.70361328125,-4740.17919921875,-4955.91796875,-5743.548828125
9,-7599.615234375,-4081.5625,-5743.7724609375,-5397.4765625,-5667.03857421875,-4739.12841796875,-4954.84521484375,-5743.302734375
10,-7598.765625,-4080.7802734375,-5742.43115234375,-5395.01806640625,-5667.1728515625,-4738.90478515625,-4954.5322265625,-5741.47021484375
11,-7597.91650390625,-4080.333251953125,-5741.134765625,-5394.01220703125,-5666.9267578125,-4736.625,-4954.509765625,-5740.41943359375
12,-7596.95556640625,-4079.28271484375,-5738.8994140625,-5393.7216796875,-5666.23388671875,-4734.4794921875,-4953.951171875,-5739.83837890625
13,-7598.005859375,-4080.109619140625,-5739.7265625,-5396.2919921875,-5667.2177734375,-4735.32861328125,-4953.6826171875,-5740.28515625
14,-7598.2294921875,-4080.198974609375,-5740.173828125,-5397.07421875,-5667.10595703125,-4735.70849609375,-4953.4814453125,-5740.173828125
15,-7598.20703125,-4078.947265625,-5738.83251953125,-5395.912109375,-5666.07763671875,-4734.2333984375,-4952.54296875,-5739.927734375
16,-7595.5693359375,-4074.924072265625,-5735.23388671875,-5391.083984375,-5662.3896484375,-4730.6572265625,-4948.36328125,-5736.01611328125
17,-7593.0439453125,-4071.86181640625,-5732.9541015625,-5387.57470703125,-5658.9921875,-4728.89111328125,-4945.23388671875,-5733.66943359375
18,-7593.49072265625,-4073.7841796875,-5735.39013671875,-5389.96630859375,-5659.9755859375,-4730.9921875,-4947.42431640625,-5734.9208984375
19,-7594.384765625,-4076.309814453125,-5737.1337890625,-5392.73828125,-5661.49560546875,-4732.8701171875,-4949.9501953125,-5736.48583984375
20,-7592.41796875,-4074.320556640625,-5734.7421875,-5390.03369140625,-5659.1708984375,-4730.8359375,-4947.6923828125,-5734.07177734375
21,-7588.4619140625,-4069.224365234375,-5731.45654296875,-5385.00439453125,-5654.90185546875,-4726.9912109375,-4944.27294921875,-5730.62939453125
22,-7585.86865234375,-4067.726806640625,-5729.6904296875,-5383.3056640625,-5652.64404296875,-4724.8681640625,-4942.66357421875,-5730.07080078125
23,-7584.32666015625,-4066.407958984375,-5728.103515625,-5381.0927734375,-5651.45947265625,-4723.70556640625,-4941.5234375,-5728.9755859375
24,-7583.07470703125,-4065.312744140625,-5726.986328125,-5378.99169921875,-5650.25244140625,-4722.94580078125,-4939.82470703125,-5727.67919921875
25,-7582.248046875,-4063.904541015625,-5726.27099609375,-5376.6669921875,-5649.828125,-4722.23046875,-4938.9306640625,-5727.43310546875
26,-7584.52783203125,-4065.022216796875,-5727.7236328125,-5378.43310546875,-5651.9736328125,-4723.77294921875,-4940.02587890625,-5729.60107421875
27,-7588.0146484375,-4068.77734375,-5731.23291015625,-5383.79736328125,-5654.85693359375,-4727.32666015625,-4942.1044921875,-5733.42333984375
28,-7588.6181640625,-4070.45361328125,-5732.64111328125,-5386.03271484375,-5656.86865234375,-4728.6005859375,-4943.64697265625,-5735.501953125
29,-7589.4453125,-4070.67724609375,-5733.60205078125,-5386.85986328125,-5657.6064453125,-4729.74072265625,-4943.69140625,-5735.7705078125
30,-7592.12744140625,-4072.018310546875,-5736.03857421875,-5389.18408203125,-5659.28271484375,-4731.841796875,-4945.501953125,-5738.05029296875
31,-7594.3623046875,-4073.717041015625,-5737.3798828125,-5390.18994140625,-5661.40625,-4733.18310546875,-4947.44677734375,-5739.88330078125
32,-7596.44140625,-4075.25927734375,-5737.82666015625,-5390.5029296875,-5663.216796875,-4734.16650390625,-4948.921875,-5741.22412109375
33,-7598.34130859375,-4075.929931640625,-5738.27392578125,-5389.96630859375,-5663.7978515625,-4734.814453125,-4950.21826171875,-5741.9169921875
34,-7598.162109375,-4075.505126953125,-5738.4970703125,-5389.474609375,-5662.7919921875,-4734.1884765625,-4950.03955078125,-5741.85009765625
35,-7599.30224609375,-4076.3544921875,-5740.1513671875,-5390.7265625,-5663.5966796875,-4735.619140625,-4950.84423828125,-5743.19091796875
36,-7599.12353515625,-4076.801513671875,-5740.86669921875,-5390.927734375,-5663.43994140625,-4736.08837890625,-4950.9111328125,-5743.21337890625
37,-7598.5869140625,-4078.67919921875,-5740.7548828125,-5392.04541015625,-5663.529296875,-4736.87109375,-4951.939453125,-5743.5263671875
38,-7599.3916015625,-4081.1826171875,-5743.1015625,-5394.5263671875,-5665.7646484375,-4738.591796875,-4953.90625,-5746.43212890625
39,-7599.25732421875,-4079.9755859375,-5742.3193359375,-5392.8720703125,-5664.53515625,-4737.69775390625,-4952.67724609375,-5745.98486328125
40,-7597.759765625,-4078.232177734375,-5740.93359375,-5392.22412109375,-5662.76953125,-4736.46875,-4950.06201171875,-5744.5322265625
41,-7598.162109375,-4078.522705078125,-5741.64892578125,-5395.4873046875,-5662.68017578125,-4737.16162109375,-4950.41943359375,-5744.4873046875
42,-7598.11767578125,-4080.132080078125,-5742.81103515625,-5397.4765625,-5662.70263671875,-4738.14501953125,-4951.7158203125,-5744.1298828125
43,-7596.06103515625,-4079.126220703125,-5741.87255859375,-5395.5546875,-5661.11572265625,-4737.98828125,-4950.173828125,-5741.87255859375
44,-7594.4521484375,-4076.28759765625,-5738.60888671875,-5391.330078125,-5659.1484375,-4735.37353515625,-4947.111328125,-5738.8994140625
45,-7594.5859375,-4075.7509765625,-5737.357421875,-5389.5419921875,-5658.43310546875,-4732.91455078125,-4947.0888671875,-5737.8935546875
46,-7594.67529296875,-4074.96875,-5737.2900390625,-5389.8994140625,-5658.29931640625,-4733.4736328125,-4945.81494140625,-5738.00537109375
47,-7595.8154296875,-4076.779296875,-5741.02294921875,-5394.21337890625,-5660.04248046875,-4736.75927734375,-4946.66455078125,-5739.7490234375
48,-7595.47998046875,-4077.829833984375,-5742.1181640625,-5395.44287109375,-5660.2216796875,-4737.54150390625,-4947.87158203125,-5741.42529296875
49,-7593.423828125,-4075.66162109375,-5739.525390625,-5392.1572265625,-5659.349609375,-4735.4853515625,-4947.82666015625,-5740.41943359375
50,-7592.46240234375,-4075.035888671875,-5739.97265625,-5391.82177734375,-5660.86962890625,-4735.5966796875,-4948.63134765625,-5739.63720703125
51,-7590.853515625,-4075.37109375,-5739.5478515625,-5391.732421875,-5661.67431640625,-4735.17236328125,-4949.61474609375,-5739.5703125
52,-7589.5791015625,-4076.08642578125,-5739.3466796875,-5391.97802734375,-5662.09912109375,-4734.658203125,-4948.765625,-5739.3466796875
53,-7590.5625,-4075.303955078125,-5739.63720703125,-5392.22412109375,-5662.5908203125,-4735.57470703125,-4949.05615234375,-5739.68212890625
54,-7592.015625,-4075.505126953125,-5740.9111328125,-5392.44775390625,-5663.66357421875,-4736.87109375,-4949.23486328125,-5739.86083984375
55,-7594.228515625,-4077.583984375,-5741.87255859375,-5394.77197265625,-5665.22802734375,-4737.89892578125,-4951.00048828125,-5741.98388671875
56,-7595.50244140625,-4077.9638671875,-5741.1796875,-5394.81689453125,-5665.07177734375,-4737.76513671875,-4952.341796875,-5742.20751953125
57,-7596.08349609375,-4078.1650390625,-5741.291015625,-5394.34765625,-5665.29541015625,-4737.74267578125,-4952.05126953125,-5743.19091796875
58,-7594.69775390625,-4077.315673828125,-5740.93359375,-5394.03466796875,-5664.84814453125,-4737.72021484375,-4950.9560546875,-5743.45947265625
59,-7595.14501953125,-4078.991943359375,-5742.69921875,-5396.85107421875,-5665.87646484375,-4739.35205078125,-4952.54296875,-5744.01806640625
60,-7596.10595703125,-4079.68505859375,-5743.9287109375,-5398.99658203125,-5665.787109375,-4740.0224609375,-4953.25830078125,-5744.1298828125
61,-7594.31787109375,-4077.718017578125,-5742.7666015625,-5397.61083984375,-5664.580078125,-4738.390625,-4950.66552734375,-5741.98388671875
62,-7592.08251953125,-4075.192138671875,-5740.08447265625,-5394.57080078125,-5662.92578125,-4736.31201171875,-4948.83251953125,-5740.3525390625
63,-7593.13330078125,-4076.600341796875,-5740.93359375,-5395.42041015625,-5664.6025390625,-4737.49658203125,-4950.41943359375,-5741.80517578125
64,-7593.53564453125,-4075.639404296875,-5740.28515625,-5395.46484375,-5664.177734375,-4736.51318359375,-4950.06201171875,-5741.62646484375
65,-7594.47412109375,-4075.929931640625,-5740.3076171875,-5394.951171875,-5665.25048828125,-4736.51318359375,-4951.00048828125,-5741.7607421875
66,-7594.87646484375,-4076.935791015625,-5740.64306640625,-5395.30859375,-5667.1953125,-4736.89306640625,-4952.78857421875,-5742.65478515625
67,-7593.28955078125,-4075.594482421875,-5738.63134765625,-5394.1240234375,-5665.8095703125,-4735.0830078125,-4951.85009765625,-5741.00048828125
68,-7591.255859375,-4072.95703125,-5736.03857421875,-5391.41943359375,-5663.68603515625,-4732.6015625,-4949.27978515625,-5738.8994140625
69,-7591.07666015625,-4072.08544921875,-5734.943359375,-5389.51953125,-5663.126953125,-4731.2158203125,-4947.44677734375,-5736.99951171875
70,-7594.27294921875,-4074.45458984375,-5737.44677734375,-5390.927734375,-5665.4072265625,-4732.78076171875,-4950.26318359375,-5738.9443359375
71,-7595.6142578125,-4074.924072265625,-5738.27392578125,-5392.693359375,-5666.14453125,-4733.51806640625,-4950.7548828125,-5740.12890625
72,-7596.6201171875,-4076.399169921875,-5739.45849609375,-5395.353515625,-5667.3740234375,-4735.8203125,-4951.87255859375,-5741.1796875
73,-7597.603515625,-4076.533447265625,-5740.173828125,-5395.95703125,-5668.201171875,-4736.28955078125,-4952.60986328125,-5742.40869140625
74,-7597.5810546875,-4076.823974609375,-5741.44775390625,-5396.26953125,-5668.31298828125,-4737.34033203125,-4952.9677734375,-5744.19677734375
75,-7599.5927734375,-4078.299072265625,-5743.3251953125,-5397.43212890625,-5669.609375,-4739.17333984375,-4954.62158203125,-5745.8955078125
76,-7601.53759765625,-4079.997802734375,-5745.0908203125,-5399.62255859375,-5669.89990234375,-4741.4755859375,-4955.78369140625,-5747.5048828125
77,-7601.42578125,-4081.517822265625,-5746.87939453125,-5400.8740234375,-5669.3408203125,-4742.30224609375,-4955.98486328125,-5747.79541015625
78,-7599.54833984375,-4081.7412109375,-5747.03564453125,-5401.09765625,-5667.8212890625,-4741.49755859375,-4954.7109375,-5746.83447265625
79,-7596.95556640625,-4079.796630859375,-5745.00146484375,-5398.326171875,-5666.10009765625,-4740.55908203125,-4953.43701171875,-5745.3369140625
80,-7596.86572265625,-4079.55078125,-5745.87353515625,-5398.482421875,-5665.3623046875,-4741.54248046875,-4952.9677734375,-5745.24755859375
81,-7597.8271484375,-4081.428466796875,-5747.884765625,-5401.09765625,-5666.25634765625,-4743.46484375,-4954.42041015625,-5747.08056640625
82,-7598.005859375,-4082.009521484375,-5747.61669921875,-5401.7236328125,-5666.25634765625,-4743.7998046875,-4955.76171875,-5747.3486328125
83,-7596.396484375,-4081.47314453125,-5746.923828125,-5400.98583984375,-5664.7587890625,-4743.12939453125,-4954.19677734375,-5745.91796875
84,-7595.2568359375,-4079.215576171875,-5745.60498046875,-5398.77294921875,-5662.50146484375,-4741.11767578125,-4951.3134765625,-5744.30859375
85,-7592.86474609375,-4077.67333984375,-5744.3310546875,-5397.65576171875,-5661.40625,-4739.91064453125,-4949.32421875,-5743.1015625
86,-7591.07666015625,-4075.974609375,-5743.25830078125,-5396.6943359375,-5659.48388671875,-4739.15087890625,-4947.759765625,-5742.9228515625
87,-7590.451171875,-4075.192138671875,-5742.341796875,-5396.20263671875,-5658.45556640625,-4738.72607421875,-4947.06689453125,-5742.02880859375
88,-7590.87548828125,-4076.421630859375,-5741.64892578125,-5396.42626953125,-5659.43896484375,-4737.69775390625,-4947.5361328125,-5742.00634765625
89,-7590.4287109375,-4077.67333984375,-5741.5146484375,-5397.87890625,-5660.66845703125,-4737.69775390625,-4948.40771484375,-5742.69921875
90,-7590.51806640625,-4077.919189453125,-5741.08984375,-5398.3037109375,-5660.86962890625,-4737.4521484375,-4949.07861328125,-5742.18505859375
91,-7591.859375,-4077.896728515625,-5740.5537109375,-5398.5498046875,-5662.52392578125,-4737.29541015625,-4949.927734375,-5742.58740234375
92,-7591.814453125,-4078.544921875,-5740.9111328125,-5397.87890625,-5663.7529296875,-4737.2734375,-4950.12890625,-5743.302734375
93,-7592.41796875,-4078.9697265625,-5742.3193359375,-5398.6611328125,-5664.42333984375,-4738.30126953125,-4950.41943359375,-5744.30859375
94,-7593.13330078125,-4078.790771484375,-5743.21337890625,-5399.9130859375,-5664.177734375,-4738.74853515625,-4950.083984375,-5744.3310546875
95,-7594.67529296875,-4080.06494140625,-5744.4873046875,-5401.20947265625,-5665.83154296875,-4740.13427734375,-4951.40283203125,-5744.84521484375
96,-7597.40234375,-4082.970703125,-5745.40380859375,-5403.04248046875,-5670.7939453125,-4741.11767578125,-4956.3203125,-5746.67822265625
97,-7599.5703125,-4084.110595703125,-5746.05224609375,-5405.0537109375,-5673.990234375,-4742.056640625,-4959.00244140625,-5747.9296875
98,-7600.0400390625,-4084.982421875,-5745.8955078125,-5405.0986328125,-5674.30322265625,-4741.6318359375,-4959.65087890625,-5748.39892578125
99,-7598.005859375,-4084.088134765625,-5743.9287109375,-5403.66796875,-5672.3583984375,-4739.95556640625,-4957.9296875,-5746.47705078125
100,-7596.06103515625,-4082.76953125,-5743.3701171875,-5402.19287109375,-5670.32421875,-4739.32958984375,-4956.20849609375,-5744.9345703125
101,-7596.240234375,-4083.5517578125,-5744.755859375,-5403.22119140625,-5669.85498046875,-4740.6259765625,-4955.314453125,-5745.06884765625
102,-7594.1611328125,-4082.1435546875,-5744.42041015625,-5402.61767578125,-5667.03857421875,-4740.51416015625,-4953.2802734375,-5744.4873046875
103,-7593.625,-4082.635498046875,-5745.02392578125,-5402.81884765625,-5666.23388671875,-4740.447265625,-4952.54296875,-5745.314453125
104,-7596.08349609375,-4085.429443359375,-5747.84033203125,-5406.1494140625,-5669.7431640625,-4743.419921875,-4956.0966796875,-5747.46044921875
105,-7597.13427734375,-4087.64208984375,-5749.24853515625,-5407.55712890625,-5671.24072265625,-4745.14111328125,-4959.494140625,-5748.1533203125
106,-7598.408203125,-4087.75390625,-5750.03076171875,-5407.8701171875,-5671.5986328125,-4745.96826171875,-4960.6787109375,-5748.17578125
107,-7599.32470703125,-4086.94921875,-5750.5673828125,-5408.09375,-5671.82177734375,-4746.2138671875,-4960.23193359375,-5748.33203125
108,-7599.0341796875,-4087.709228515625,-5750.47802734375,-5407.80322265625,-5671.5537109375,-4747.10791015625,-4960.18701171875,-5749.00244140625
109,-7598.609375,-4087.86572265625,-5750.8798828125,-5407.2666015625,-5672.2021484375,-4747.10791015625,-4960.45556640625,-5750.03076171875
110,-7597.0,-4084.64697265625,-5748.578125,-5403.2880859375,-5671.12890625,-4744.29150390625,-4958.287109375,-5748.5556640625
111,-7597.2236328125,-4084.7587890625,-5747.81787109375,-5401.76806640625,-5671.3974609375,-4743.73291015625,-4959.04736328125,-5749.02490234375
112,-7598.94482421875,-4086.14453125,-5750.05322265625,-5405.1435546875,-5672.22412109375,-4745.990234375,-4959.740234375,-5750.67919921875
113,-7601.8505859375,-4089.094970703125,-5753.47314453125,-5409.658203125,-5674.50439453125,-4749.1865234375,-4961.349609375,-5752.6904296875
114,-7601.9619140625,-4089.385498046875,-5753.24951171875,-5410.6865234375,-5674.34765625,-4749.7900390625,-4959.80712890625,-5752.5341796875
115,-7600.73291015625,-4087.86572265625,-5752.109375,-5409.7255859375,-5673.63232421875,-4748.60546875,-4958.734375,-5752.04248046875
116,-7602.14111328125,-4089.5419921875,-5752.9365234375,-5410.708984375,-5676.27001953125,-4749.32080078125,-4961.84130859375,-5754.5009765625
117,-7605.33740234375,-4093.989990234375,-5755.66357421875,-5414.0615234375,-5678.88525390625,-4751.75732421875,-4965.931640625,-5757.294921875
118,-7605.962890625,-4094.817138671875,-5755.775390625,-5415.17919921875,-5679.44384765625,-4751.623046875,-4966.69140625,-5757.7197265625
119,-7604.66650390625,-4093.520751953125,-5755.484375,-5414.41943359375,-5678.728515625,-4751.8017578125,-4965.171875,-5756.1103515625
